case_id,condition,reference_label,ai_prediction,ai_confidence,ai_correct,clinician_initial,clinician_initial_confidence,initial_correct,ai_revealed,explanation_opened,clinician_final,clinician_final_confidence,final_correct,decision_switched,ai_agreement_final,decision_time_sec,synthetic
SIM-C00001,ai_plus_explanation,2,2,0.785,1,2,0.641,1,1,1,2,0.666,1,0,1,40.0,1
SIM-C00002,ai_plus_explanation,0,0,0.737,1,0,0.756,1,1,0,0,0.784,1,0,1,23.8,1
SIM-C00003,ai_prediction,4,4,0.857,1,4,0.779,1,1,0,4,0.703,1,0,1,34.7,1
SIM-C00004,no_ai,2,2,0.782,1,2,0.643,1,0,0,2,0.643,1,0,1,24.5,1
SIM-C00005,ai_plus_explanation,0,0,0.772,1,2,0.587,0,1,0,2,0.575,0,0,0,39.6,1
SIM-C00006,ai_prediction,2,2,0.766,1,2,0.99,1,1,0,2,0.98,1,0,1,39.6,1
SIM-C00007,no_ai,0,0,0.897,1,2,0.773,0,0,0,2,0.773,0,0,0,25.6,1
SIM-C00008,ai_prediction,2,2,0.711,1,2,0.69,1,1,0,2,0.785,1,0,1,48.2,1
SIM-C00009,no_ai,0,0,0.784,1,3,0.588,0,0,0,3,0.588,0,0,0,41.1,1
SIM-C00010,ai_prediction,4,4,0.982,1,4,0.709,1,1,0,4,0.776,1,0,1,38.0,1
SIM-C00011,ai_plus_explanation,2,2,0.786,1,2,0.9,1,1,1,2,0.983,1,0,1,42.3,1
SIM-C00012,ai_prediction,0,0,0.865,1,0,0.557,1,1,0,0,0.592,1,0,1,31.8,1
SIM-C00013,ai_plus_explanation,1,3,0.641,0,1,0.819,1,1,1,1,0.904,1,0,0,49.2,1
SIM-C00014,ai_prediction,4,4,0.856,1,2,0.497,0,1,0,2,0.557,0,0,0,39.7,1
SIM-C00015,ai_plus_explanation,2,2,0.866,1,0,0.345,0,1,1,2,0.482,1,1,1,38.2,1
SIM-C00016,no_ai,0,0,0.974,1,1,0.592,0,0,0,1,0.592,0,0,0,28.8,1
SIM-C00017,ai_prediction,3,3,0.776,1,3,0.754,1,1,0,3,0.773,1,0,1,28.8,1
SIM-C00018,no_ai,0,3,0.551,0,0,0.721,1,0,0,0,0.721,1,0,0,26.5,1
SIM-C00019,ai_plus_explanation,2,2,0.692,1,2,0.663,1,1,1,2,0.66,1,0,1,47.7,1
SIM-C00020,ai_plus_explanation,0,0,0.767,1,0,0.549,1,1,1,0,0.602,1,0,1,39.0,1
SIM-C00021,ai_plus_explanation,0,0,0.708,1,2,0.76,0,1,0,2,0.809,0,0,0,35.5,1
SIM-C00022,no_ai,3,3,0.832,1,3,0.901,1,0,0,3,0.901,1,0,1,36.4,1
SIM-C00023,no_ai,1,1,0.925,1,1,0.876,1,0,0,1,0.876,1,0,1,29.9,1
SIM-C00024,ai_prediction,0,0,0.784,1,4,0.782,0,1,0,0,0.925,1,1,1,43.0,1
SIM-C00025,ai_prediction,2,4,0.451,0,2,0.858,1,1,0,4,0.957,0,1,1,45.7,1
